parent_category,name,link
"Clothing, Shoes, Jewelry & Watches",Amazon Fashion,/gp/browse.html?node=7141123011&ref_=nav_em__sft_0_2_12_2
"Clothing, Shoes, Jewelry & Watches",Women,/gp/browse.html?node=7147440011&ref_=nav_em__sft_women_0_2_12_3
"Clothing, Shoes, Jewelry & Watches",Men,/gp/browse.html?node=7147441011&ref_=nav_em__sft_men_0_2_12_4
"Clothing, Shoes, Jewelry & Watches",Girls,/gp/browse.html?node=7147442011&ref_=nav_em__sft_girls_0_2_12_5
"Clothing, Shoes, Jewelry & Watches",Boys,/gp/browse.html?node=7147443011&ref_=nav_em__sft_boys_0_2_12_6
"Clothing, Shoes, Jewelry & Watches",Baby,/gp/browse.html?node=7147444011&ref_=nav_em__sft_baby_0_2_12_7
"Clothing, Shoes, Jewelry & Watches",Luggage,/gp/browse.html?node=9479199011&ref_=nav_em__sft_luggage_0_2_12_8
"Clothing, Shoes, Jewelry & Watches",Luxury Stores,/luxurystores?ref_=nav_em_luxury_sbd_hamb_0_2_12_9
"Clothing, Shoes, Jewelry & Watches",The Drop,https://www.amazon.com/thedrop?ref_=nav_em_0_2_12_10
"Clothing, Shoes, Jewelry & Watches",Sales &amp; Deals,/gp/browse.html?node=9538491011&ref_=nav_em__sft_sales_0_2_12_11
"Clothing, Shoes, Jewelry & Watches",Our Brands,/gp/browse.html?node=16334314011&ref_=nav_em__OurBrands_0_2_12_13
"Clothing, Shoes, Jewelry & Watches",The Shop by Shopbop,/stores/page/135F2992-CF34-468F-B67F-101F73A197E3?ref_=nav_em__shopbop_0_2_12_14
"Clothing, Shoes, Jewelry & Watches",Artist Merch Shop,/gp/browse.html?node=21213464011&ref_=nav_em__ammerch_fash_0_2_12_15
Amazon Fresh,All Amazon Fresh,/alm/storefront?almBrandId=QW1hem9uIEZyZXNo&ref_=nav_em__afs_aaf_0_2_13_2
Amazon Fresh,Beverages,/b?bbn=10329849011&node=16310231&ref_=nav_em__afs_bev_0_2_13_3
Amazon Fresh,Breads &amp; Bakery,/b?bbn=10329849011&node=16318751&ref_=nav_em__afs_bb_0_2_13_4
Amazon Fresh,"Dairy, Cheese &amp; Eggs",/b?bbn=10329849011&node=371460011&ref_=nav_em__afs_dce_0_2_13_5
Amazon Fresh,Frozen Foods,/b?bbn=10329849011&node=6459122011&ref_=nav_em__afs_ff_0_2_13_6
Amazon Fresh,Fruits,/b?bbn=10329849011&node=16318981&ref_=nav_em__afs_fr_0_2_13_7
Amazon Fresh,Meat &amp; Seafood,/b?bbn=10329849011&node=371469011&ref_=nav_em__afs_ms_0_2_13_8
Amazon Fresh,Prepared Meals,/alm/category?almBrandId=QW1hem9uIEZyZXNo&node=18773724011&ref_=nav_em__afs_pm_0_2_13_9
Amazon Fresh,Snack Foods,/b?bbn=10329849011&node=16322721&ref_=nav_em__afs_sf_0_2_13_10
Amazon Fresh,Vegetables,/b?bbn=10329849011&node=16319281&ref_=nav_em__afs_vg_0_2_13_11
Amazon Fresh,"Household, Health &amp; Beauty",/alm/category?almBrandId=QW1hem9uIEZyZXNo&node=3760901&ref_=nav_em__afs_hpc_0_2_13_12
Amazon Fresh,Household &amp; Cleaning,/b?bbn=10329849011&node=15342811&ref_=nav_em__afs_hc_0_2_13_13
Amazon Fresh,Past Purchases,/afx/lists/pastpurchases?ref_=nav_em__afs_pp_0_2_13_14
Amazon Fresh,Fresh Savings,/l/?bbn=10329849011&node=13904808011&ref_=nav_em__afs_fd_0_2_13_15
Amazon Fresh,Grocery Lists,/alexaquantum/sp/alexaShoppingList?ref_=nav_em__afs_gl_0_2_13_16
Amazon Fresh,Local Market,/b?bbn=10329849011&node=14762495011&ref_=nav_em__afs_nhs_0_2_13_17
Whole Foods Market,Explore Whole Foods Market,/alm/storefront?almBrandId=VUZHIFdob2xlIEZvb2Rz&ref_=nav_em_navm_whole_foods_storefront_0_2_14_2
Whole Foods Market,Whole Foods Market Catering,/alm/storefront?almBrandId=aNHVc2Akvg&ref_=nav_em_navm_wfmct_storefront_0_2_14_4
Books,Books,/gp/browse.html?node=283155&ref_=nav_em__bo_t3_0_2_15_2
Books,Children's Books,/gp/browse.html?node=4&ref_=nav_em__cbo_t3_0_2_15_3
Books,Textbooks,/gp/browse.html?node=465600&ref_=nav_em__tb_t3_0_2_15_4
Books,Audible Membership,/hz/audible/mlp?ref_=nav_em_aud_mem_t3_0_2_15_6
Books,Audible Books &amp; Originals,/Audible-Books-and-Originals/b/?node=18145289011&ref_=nav_em_0_2_15_7
Books,Kindle Books,/gp/browse.html?node=1286228011&ref_=nav_em__k_kbo_t3_0_2_15_9
Books,Kindle Unlimited,/gp/kindle/ku/sign-up/ui/rw/about?ref_=nav_em__ods_books_con_ku_t3_0_2_15_10
Books,Prime Reading,/kindle-dbs/fd/prime-pr?ref_=nav_em__ods_eink_con_pr_t3_0_2_15_11
Books,Kindle Vella,/kindle-vella?ref_=nav_em__vla_dt_gw_hm_db_0_2_15_12
Books,Amazon Book Clubs,/amazonbookclubs?ref_=nav_em_abc_hmenu_0_2_15_14
Books,"Comics &amp; Graphic Novels
",/gp/browse.html?node=156104011&ref_=nav_em__comicsgraphic_0_2_15_15
Books,Magazines,/gp/browse.html?node=599858&ref_=nav_em__magazines_t3_0_2_15_16
Books,Prime Student,/gp/browse.html?node=668781011&ref_=nav_em__student_t3_0_2_15_17
Books,Whispersync for Voice,/gp/browse.html?node=5744819011&ref_=nav_em_aud_wfv_t3_0_2_15_18
Books,AbeBooks.com,/gp/browse.html?node=2056775011&ref_=nav_em__abebooks_t3_0_2_15_19
"Movies, Music & Games",Movies &amp; TV,/gp/browse.html?node=2625373011&ref_=nav_em__mov_0_2_16_2
