url,parent_category,error
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A2242348011&dc&qid=1745391766&rnid=172282&ref=sr_nr_n_6,Electronic Protection Plans,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A667846011&dc&qid=1745391766&rnid=172282&ref=sr_nr_n_8,Home Audio,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A300334&dc&qid=1745391766&rnid=172282&ref=sr_nr_n_14,Video Projectors,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A1232597011&dc&qid=1745391766&rnid=172282&ref=sr_nr_n_20,Tablets,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=9187220011&ref_=amb_link_jBlj25x2QLuQMxbePNsLFA_3,Trade-In,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=7072561011&ref_=wl_nav_left_cpa_700,Renewed Phones,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=2407781011&ref_=amb_link_jBlj25x2QLuQMxbePNsLFA_14,Screen Protectors,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=2407782011&ref_=amb_link_jBlj25x2QLuQMxbePNsLFA_15,Signal Boosters,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=21209098011&ref_=amb_link_jBlj25x2QLuQMxbePNsLFA_16,Phone Grips,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=%3Dnav_cs_amazonbasics&ref_=amb_link_jBlj25x2QLuQMxbePNsLFA_17,Amazon Basics,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=12691228011&ref_=amb_link_BpW_pJfGS-SH8sCy2LOykw_1,Handpicked Electronics,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=1292115011&ref_=amb_link_BpW_pJfGS-SH8sCy2LOykw_5,Monitors,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=1232597011&ref_=amb_link_BpW_pJfGS-SH8sCy2LOykw_6,Tablets,No LI elements found
https://www.amazon.com/Best-Sellers-Electronics-Laptop-Computers/zgbs/electronics/565108?rw_useCurrentProtocol=1&ref_=amb_link_BpW_pJfGS-SH8sCy2LOykw_11,Laptops,No LI elements found
https://www.amazon.com/Best-Sellers-Electronics-Desktop-Computers/zgbs/electronics/565098?rw_useCurrentProtocol=1&ref_=amb_link_BpW_pJfGS-SH8sCy2LOykw_12,Desktops,No LI elements found
https://www.amazon.com/Best-Sellers-Electronics-Video-Game-Consoles-Accessories/zgbs/electronics/7926841011?rw_useCurrentProtocol=1&ref_=amb_link_BpW_pJfGS-SH8sCy2LOykw_13,PC Gaming,No LI elements found
https://www.amazon.com/Best-Sellers-Electronics-Computer-Monitors/zgbs/electronics/1292115011?rw_useCurrentProtocol=1&ref_=amb_link_BpW_pJfGS-SH8sCy2LOykw_14,Monitors,No LI elements found
https://www.amazon.com/Best-Sellers-Electronics-Computer-Tablets/zgbs/electronics/1232597011?rw_useCurrentProtocol=1&ref_=amb_link_BpW_pJfGS-SH8sCy2LOykw_15,Tablets,No LI elements found
https://www.amazon.com/Best-Sellers-Electronics-Laptop-Accessories/zgbs/electronics/3011391011?rw_useCurrentProtocol=1&ref_=amb_link_BpW_pJfGS-SH8sCy2LOykw_16,Laptop Accessories,No LI elements found
https://www.amazon.com/Best-Sellers-Electronics-Computer-Networking/zgbs/electronics/172504?rw_useCurrentProtocol=1&ref_=amb_link_BpW_pJfGS-SH8sCy2LOykw_17,Networking Products,No LI elements found
https://www.amazon.com/Best-Sellers-Electronics-Computer-Components/zgbs/electronics/193870011?rw_useCurrentProtocol=1&ref_=amb_link_BpW_pJfGS-SH8sCy2LOykw_18,Computer Components,No LI elements found
https://www.amazon.com/Best-Sellers-Electronics-Data-Storage/zgbs/electronics/1292110011?rw_useCurrentProtocol=1&ref_=amb_link_BpW_pJfGS-SH8sCy2LOykw_19,Drives & Storage Products,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A1266092011%2Cn%3A979935011&dc&qid=1745391774&rnid=1266092011&ref=sr_nr_n_3,Analog-to-Digital (DTV) Converters,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A1266092011%2Cn%3A3213035011&dc&qid=1745391774&rnid=1266092011&ref=sr_nr_n_4,AV Receivers & Amplifiers,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A1266092011%2Cn%3A886258&dc&qid=1745391774&rnid=1266092011&ref=sr_nr_n_7,DVD-VCR Combos,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A1266092011%2Cn%3A352696011&dc&qid=1745391774&rnid=1266092011&ref=sr_nr_n_8,HD DVD Players,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A1266092011%2Cn%3A281056&dc&qid=1745391774&rnid=1266092011&ref=sr_nr_n_9,Home Theater Systems,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A1266092011%2Cn%3A13447451&dc&qid=1745391774&rnid=1266092011&ref=sr_nr_n_11,Streaming Media Players,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A1266092011%2Cn%3A578960&dc&qid=1745391774&rnid=1266092011&ref=sr_nr_n_13,TV-DVD Combos,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A1266092011%2Cn%3A172669&dc&qid=1745391774&rnid=1266092011&ref=sr_nr_n_14,VCRs,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A1266092011%2Cn%3A3213034011&dc&qid=1745391774&rnid=1266092011&ref=sr_nr_n_15,Video Glasses,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=12097478011&ref_=amb_link_wWKVXRlOSpW2CEglBx9yZg_1,In Ear Earbud Headphones,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=12097479011&ref_=amb_link_wWKVXRlOSpW2CEglBx9yZg_2,Over-Ear Headphones,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=12097480011&ref_=amb_link_wWKVXRlOSpW2CEglBx9yZg_3,On-Ear Headphones,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=12097501011&ref_=amb_link_wWKVXRlOSpW2CEglBx9yZg_4,Bluetooth Headphones,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=2266980011&ref_=amb_link_wWKVXRlOSpW2CEglBx9yZg_5,Sports and Fitness Headphones,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=509318&ref_=amb_link_wWKVXRlOSpW2CEglBx9yZg_6,Noise-cancelling Headphones,No LI elements found
https://www.amazon.com/gp/browse.html?rw_useCurrentProtocol=1&node=11601506011&ref_=amb_link_wWKVXRlOSpW2CEglBx9yZg_9,All deals,No LI elements found
https://www.amazon.com/s?rh=n%3A1064954%2Cn%3A172574%2Cn%3A172576&dc&qid=1745391779&rnid=172574&ref=sr_nr_n_3,Copiers,No LI elements found
https://www.amazon.com/s?rh=n%3A1064954%2Cn%3A172574%2Cn%3A5728045011&dc&qid=1745391779&rnid=172574&ref=sr_nr_n_4,Document Cameras,No LI elements found
https://www.amazon.com/s?rh=n%3A1064954%2Cn%3A172574%2Cn%3A172582&dc&qid=1745391779&rnid=172574&ref=sr_nr_n_6,Fax Machines,No LI elements found
https://www.amazon.com/s?rh=n%3A1064954%2Cn%3A172574%2Cn%3A172594&dc&qid=1745391779&rnid=172574&ref=sr_nr_n_8,PDAs & Handhelds,No LI elements found
https://www.amazon.com/s?rh=n%3A1064954%2Cn%3A172574%2Cn%3A300334&dc&qid=1745391779&rnid=172574&ref=sr_nr_n_13,Projectors,No LI elements found
https://www.amazon.com/s?rh=n%3A1064954%2Cn%3A172574%2Cn%3A14759145011&dc&qid=1745391779&rnid=172574&ref=sr_nr_n_17,Video Projectors & Accessories,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A502394%2Cn%3A5728049011&dc&qid=1745391781&rnid=502394&ref=sr_nr_n_6,Film & Slide Scanners,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A502394%2Cn%3A14241441&dc&qid=1745391781&rnid=502394&ref=sr_nr_n_13,Simulated Cameras,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A502394%2Cn%3A300334&dc&qid=1745391781&rnid=502394&ref=sr_nr_n_17,Video Projectors,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A10048700011%2Cn%3A10048706011&dc&qid=1745391783&rnid=10048700011&ref=sr_nr_n_2,"Clips, Arm & Wristbands",No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A10048700011%2Cn%3A10048708011&dc&qid=1745391783&rnid=10048700011&ref=sr_nr_n_3,Glasses,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A10048700011%2Cn%3A10048711011&dc&qid=1745391783&rnid=10048700011&ref=sr_nr_n_4,Rings,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A10048700011%2Cn%3A5393958011&dc&qid=1745391783&rnid=10048700011&ref=sr_nr_n_7,Activity Trackers,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A10048700011%2Cn%3A18021376011&dc&qid=1745391783&rnid=10048700011&ref=sr_nr_n_9,Single Ear Bluetooth Headsets,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A10048700011%2Cn%3A10048713011&dc&qid=1745391783&rnid=10048700011&ref=sr_nr_n_10,Smart Clip Accessories,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A10048700011%2Cn%3A14775002011&dc&qid=1745391783&rnid=10048700011&ref=sr_nr_n_12,VR Cell Phone Headsets,No LI elements found
https://www.amazon.com/s?rh=n%3A229534%2Cn%3A229653&dc&qid=1745391790&rnid=229534&ref=sr_nr_n_9,Operating Systems,No LI elements found
https://www.amazon.com/s?rh=n%3A229534%2Cn%3A229545&dc&qid=1745391790&rnid=229534&ref=sr_nr_n_12,Tax Preparation,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A2242348011&dc&qid=1745391795&rnid=172282&ref=sr_nr_n_6,Electronic Protection Plans,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A667846011&dc&qid=1745391795&rnid=172282&ref=sr_nr_n_8,Home Audio,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A300334&dc&qid=1745391795&rnid=172282&ref=sr_nr_n_14,Video Projectors,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A1232597011&dc&qid=1745391795&rnid=172282&ref=sr_nr_n_20,Tablets,No LI elements found
