parent_category,parent_category_link,category,category_link,level
Save with Kroger Brand,/b/kroger-brand,Frozen,/pl/frozen-foods/19?brandName=Kroger&monet=false&pzn=relevance,5
Save with Kroger Brand,/b/kroger-brand,Dairy & Eggs,/pl/dairy-eggs/02?brandName=Kroger&query=kroger&monet=false&pzn=relevance,5
Save with Kroger Brand,/b/kroger-brand,Pantry,/pl/grocery/01?brandName=Kroger&query=Kroger&monet=false&pzn=relevance,5
Save with Kroger Brand,/b/kroger-brand,Meat & Seafood,/pl/meat-seafood/05?brandName=Kroger&query=kroger&monet=false&pzn=relevance,5
Save with Kroger Brand,/b/kroger-brand,Cleaning & Household Essentials,/pl/cleaning-and-household/26?brandName=Kroger&query=Kroger&monet=false&facets=true&pzn=relevance,5
Shop Kroger Brands,/b/kroger-brand,Frozen,/pl/frozen-foods/19?brandName=Kroger&monet=false&pzn=relevance,5
Shop Kroger Brands,/b/kroger-brand,Dairy & Eggs,/pl/dairy-eggs/02?brandName=Kroger&query=kroger&monet=false&pzn=relevance,5
Shop Kroger Brands,/b/kroger-brand,Pantry,/pl/grocery/01?brandName=Kroger&query=Kroger&monet=false&pzn=relevance,5
Shop Kroger Brands,/b/kroger-brand,Meat & Seafood,/pl/meat-seafood/05?brandName=Kroger&query=kroger&monet=false&pzn=relevance,5
Shop Kroger Brands,/b/kroger-brand,Cleaning & Household Essentials,/pl/cleaning-and-household/26?brandName=Kroger&query=Kroger&monet=false&facets=true&pzn=relevance,5
Shop Our Brands,/b/ourbrands,Smart Way,/search?brandName=Smart%20Way&fulfillment=all&monet=false,5
Shop Our Brands,/b/ourbrands,Bakery Fresh,/search?brandName=Bakery%20Fresh%20Goodness&monet=false,5
Shop Our Brands,/b/ourbrands,Heritage Farm,/search?brandName=Heritage%20Farm&fulfillment=all&monet=false,5
Shop Our Brands,/b/ourbrands,Office Works,/search?brandName=Office%20Works&monet=false,5
Shop Our Brands,/b/ourbrands,HD Designs,/search?brandName=HD%20Designs&monet=false,5
Shop Our Brands,/b/ourbrands,Everyday Living,/search?brandName=Everyday%20Living&monet=false,5
Shop Our Brands,/b/ourbrands,Pretty Savvy,/search?monet=false&brandName=Pretty%20Savvy&fulfillment=all,5
