parent_category,category_link,reason
Coffee & Tea Supplies,/pl/coffee-tea/28012?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cookware,/pl/cookware/28008?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Bakeware,/pl/bakeware/28009?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Kitchen Linens,/pl/kitchen-table-linens/28006?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Kitchen Maintenance,/pl/kitchen-maintenance/28016?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Reusable Bags & Totes,/pl/reusable-bags-totes/28015?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Kitchen Organization,/pl/kitchen-storage-organization/28002?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Glassware & Drinkware,/pl/glassware-drinkware/40003?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Thermal & Water Bottles,/pl/thermal-water-bottles/40004?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Dinnerware,/pl/tableware/40001?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Serveware,/pl/serveware/40006?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Wine & Bar Essentials,/pl/wine-and-bar-essentials/40008?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cutlery & Knives,/pl/cutlery-knife-accessories/40002?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Flatware,/pl/flatware/40005?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Candles,/pl/candles-home-fragrances/32001?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Batteries,/pl/batteries/26003?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Light Bulbs,/pl/Light-Bulbs/26002?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Storage Solutions,/pl/storagesolutions/39005?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
School & Office,/pl/school-office/35?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Crafts & Hobbies,/pl/craft-hobby/34?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Home Improvement,/pl/hardware-home-improvement/33?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Automotive,/pl/automotive/15043?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
As Seen on TV,/pl/as-seen-on-tv/15172?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Headphones,/pl/headphones-earbuds-headsets/2900300001,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Audio & MP3 Players,/pl/audio-mp3-players/29003?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Phones,/pl/phones/29002?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Grills & Outdoor Cooking,/pl/grills-outdoor-cooking/24001?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Lawn & Garden,/pl/lawn-garden/24002,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Patio Furniture,/pl/patio-furniture/24003,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Games & Puzzles,/pl/games-puzzles/25001,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Dolls & Accessories,/pl/dolls-accessories/25004?pzn=relevance&taxonomyId=25004&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Learning & Education,/pl/learning-education/25005?pzn=relevance&taxonomyId=25005&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Creative, Crafts & Activities",/pl/creative-crafts-activities/25006?pzn=relevance&taxonomyId=25006&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Action Figures & Playsets,/pl/action-figures-playsets/25002,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Building Blocks & Sets,/pl/building-blocks-sets/2500500002,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
